push_arequipan_border_title;Push Arequipan Border;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
demand_end_spanish_protectorship_desc;The Spanish Protectorship, decided after the peace of San Salvador, has governed the unstable peace of 1820. Under the terms of the reluctant peace treaty, Spain would hold a protectorship of the former empire for 20 years, with all nations bound by the treaty being released and free to join Colombia of their own decision upon expiration. With the protectorship expiring, we must now urge the Spanish to follow through with the terms and end the protectorship. If they refuse, all of Gran Colombia will fall behind us to ensure our freedom.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
violate_spanish_protectorship_title;Violate Spanish Protectorship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
violate_spanish_protectorship_desc;The false peace of San Salvador has allowed the insidious Spanish to hold onto their empire without any real power to hold it. The peace treaty has not expired, but the Spanish are weak and distracted right now. We must ignore the treaty and strike the Spanish while it is advantageous, even if we do not have all of Gran Colombia stand with us.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_gran_colombian_dream_title;End Gran Colombian Dream;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_gran_colombian_dream_desc;The Gran Colombians have been crushed, and Mexico is now fully under our control. It is time we wipe away any memory of that failed state and restore our empire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_spanish_colonial_administration_title;Reorganize Spanish Colonial Administration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
reorganize_spanish_colonial_administration_desc;With our reconquest of our empire, we must make some reforms of our administration to prevent any future rebellion or dissent and strengthen our position.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
violate_san_salvador_treaty_title;Violate San Salvador Treaty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
violate_san_salvador_treaty_desc;Although we beat the Gran Colombians into submission, we were unable to crush them outright, leading to the Peace of San Salvador. With the terms of the treaty demanding an end of our empire upon the expiration of our protectorship, we must launch an invasion of Gran Colombia to quell any notions that we will abandon our empire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
secure_south_granada_title;Secure South Granada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
secure_south_granada_desc;We must secure our position in Southern Granada and fortify our position in the Andes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
congress_on_the_indians_title;Congress on the Indians;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
congress_on_the_indians_desc;The Indians have a place in a new Colombia. We must grant rights to all the citizens of Colombia, including the Indians.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
crush_gaungdong_traitors_title;Crush Gaungdong Traitors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
crush_gaungdong_traitors_desc;The Guangdong broke away from our Heavenly Kingdom during our brutal war of Heavenly restoration. Now that the divine right of the Heavenly Emperor is recognized by all, it is time we crush the traitors and restore our rule in Guangdong.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grant_heavenly_rights_title;Grant Heavenly Rights;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grant_heavenly_rights_desc;Many of the minorities spurred by the apostates fought against our divine mandate during the Heavenly restoration. With our divine mandate known to all, many of these minorities have begun to see the true vision and accept the Heavenly Emperor. To ensure their loyalty, perhaps we should enshrine their rights by decree.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dual_path_title;The Anglois Alliance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dual_path_desc;The Welsh and Bretons, seeing the Anglois monarchy as a path to resist English and French nationalism, have decided to side with us in creating a united monarchy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suppress_irish_nationalists_title;Suppress Irish Nationalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suppress_irish_nationalists_desc;We must suppress Irish nationalists fermenting opposition to our rule and restore order to our territories.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suppress_occitan_nationalists_title;Suppress Occitan Nationalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suppress_occitan_nationalists_desc;We must suppress Occitan nationalists fermenting opposition to our rule and restore order to our territories.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suppress_english_nationalists_title;Suppress English Nationalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suppress_english_nationalists_desc;We must suppress English nationalists fermenting opposition to our rule and restore order to our territories.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eradicate_english_nationalists_title;Eradicate English Nationalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eradicate_english_nationalists_desc;With the nationalist cells all but eradicated, we have pinpointed the final source of opposition to our rule in England. We must deal a decisive blow and crush any chance of rebellion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suppress_french_nationalists_title;Suppress French Nationalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
suppress_french_nationalists_desc;We must suppress French nationalists fermenting opposition to our rule and restore order to our territories.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eradicate_french_nationalists_title;Eradicate French Nationalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eradicate_french_nationalists_desc;With the nationalist cells all but eradicated, we have pinpointed the final source of opposition to our rule in France. We must deal a decisive blow and crush any chance of rebellion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eradicate_occitan_nationalists_title;Eradicate Occitan Nationalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eradicate_occitan_nationalists_desc;With the nationalist cells all but eradicated, we have pinpointed the final source of opposition to our rule in Occitania. We must deal a decisive blow and crush any chance of rebellion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eradicate_irish_nationalists_title;Eradicate Irish Nationalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eradicate_irish_nationalists_desc;With the nationalist cells all but eradicated, we have pinpointed the final source of opposition to our rule in Ireland. We must deal a decisive blow and crush any chance of rebellion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_german_duchies_title;Integrate German Duchies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_german_duchies_desc;Many of the former German duchies were loyal to our Emperor even before the wars of unification. With the centralization of the Empire, many of these former duchies now wish for more imfluence within the empire and have willingly declared their loyalty to the emperor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
declare_rhenish_claims_title;Declare Rhenish Claims;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
declare_rhenish_claims_desc;With our control of the Rhine unquestioned, it is time we unite the various disparate duchies under the rule of the Confederation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
institute_march_laws_title;Institute March Laws;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
institute_march_laws_desc;The April Laws, also called March Laws, are a collection of laws proposed by Lajos Kossuth with the aim of modernizing the Kingdom of Hungary into a parliamentary democracy, nation state. The April laws would utterly erase all privileges of the Hungarian nobility. Inspired by the the revolutionary cycles of 1830, the new suffrage law would transform the old feudal estates based parliament into a democratic representative parliament. The imperative program includes Hungarian control of its popular national guard, national budget and Hungarian foreign policy, as well as the removal of serfdom.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modernization_land_reform_title;Institute Modernized Land Reforms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modernization_land_reform_desc;The estates of Hungary have long been feudal and under the heavy influence of the nobility. By passing a set of reforms which ease land ownership for peasantry and reduce the influence of the landowners, we can reduce much of this feudal burden and modernize our system.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sieze_stefen_crown_title;Sieze Crown of St. Stefen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sieze_stefen_crown_desc;The Bohemians have denied us the crown of St. Stefen, claiming that it is part of their national history now. This grave insult must not be left unaswered, for this crown has far more worth to our nation symbolically than to any Bohemian as some bauble in a palace. We must sieze the crown by force, and let Prague know Hungary is not to be trifled with.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
swords_of_iraq_title;Swords of Iraq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
swords_of_iraq_desc;Our ancestors held firm control over the land of Iranshahr, and it is time we do the same. Saddam Hussein can achieve his dream.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
extend_rights_havana_title;Extend Rights to Havana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
extend_rights_havana_desc;By extending rights and privileges, we can closely control our colony in Cuba and integrate as an essential part of our empire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_arequipa_viceroyalty_title;Restore Arequipa Viceroyalty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_arequipa_viceroyalty_desc;The Arequipan Viceroyalty broke free of our rule after several revolts of the Incan nobility and the eventual craftiness of the traitor Obregoso. When our backs were turned to the Colombians, the Arequipans declared their own confederation and broke free of our grasp. Now, it is time we restore Arequipa into our empire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_arequipa_viceroyalty_title;Integrate Arequipa Viceroyalty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_arequipa_viceroyalty_desc;Through administration, loyalty, and reform, we can fully integrate these lands and peoples into our state.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
defend_lusitanian_frontier_title;Defend Lusitanian Frontier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
defend_lusitanian_frontier_desc;We must grant rights to the citizens of the Lusitanian frontier to help defend our territories from the encroaching Arcadian states.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
defend_andean_frontier_title;Defend Andean Frontier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
defend_andean_frontier_desc;We must grant rights to the citizens of the Lusitanian frontier to help defend our Andean territories from the encroaching Incan and Amerigan states..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cusco_capital_title;Cusco Capital;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cusco_capital_desc;We can designate our new capital as Cusco, the historical capital that clearly reflects the power and national ambitions of our new Incan Empire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_sapa_inca_title;Restore Sapa Inca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_sapa_inca_desc;The tyranny and mistreatment of the Andean ruling class of the historical lands and peoples of the Incas will no longer be tolerated. The power grabbing and lust of ambitious men has brought the confederation into civil war, and even after its end, the greed of the Andean thugs sees no end. It is time the Andes sees the resurgence of the real empire which represents the will of the people. FOR TAWATINSUYU!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reintegrate_qollaw_kingdom_title;Reintegrate Qollaw Kingdom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reintegrate_qollaw_kingdom_desc;The Qollaw Kingdom, a successor state to the Tiwanuku Empire, was an integral part of the Incan Empire before the Spanish conquest. Although centuries have passed and the situation has changed, many within Qollaw remember the days where our religion was freely practiced. It is time we gain their support and restore their position within Tawatinsuyu.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_arequipan_confederation_title;Restore Arequipan Confederation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_arequipan_confederation_desc;The Confederation has been racked by civil war and the ambitions of nationalists seeking to carve their own state from the lands of the confederation, whether they be Natives or Andeans. We must reunite the confederation under the control of Arequipa, likes the old days of the viceroyalty.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
congress_of_arequipa_title;Congress of Arequipa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
congress_of_arequipa_desc;With the confederation restored, we must hold a congress that seeks to truly unite the confederation into a nation state. The disagreements over our the previous government allowed the chaos to continue. It is time we hold a congress to truly cemeent the constituion of Arequipa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liberate_quito_title;Liberate Quito;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liberate_quito_desc;We must liberate our brothers in Quito from the Spanish.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reunite_andean_viceroyalties_title;Reunite Andean Viceroyalties;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reunite_andean_viceroyalties_desc;It is time we reunite the former Andean viceroyalties into one confederation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
erase_incan_identity_title;Erase Incan Identity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
erase_incan_identity_desc;Many of the Natives have long been under the influence of the Incan nobility to believe that they are still Incans, and many foolishly wish to see the Incan Empire restored. With our recent advancements into the Andes, it is time the Natives see that they are not Incans, but Andeans..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
embrace_andean_incan_identity_title;Embace the Andean-Incan Identity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
embrace_andean_incan_identity_desc;Many of the Andean mestizos have used their identity to flip loyalties depending on their ruler. It is time we make the Andeans commit fully to their identity as citizens of the Incan Empire, not Spain, Arequipa, or Colombia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
advance_granadan_frontier_title;Advance Granadan Frontier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
advance_granadan_frontier_desc;We must push further past the Andes into the fertile lands of Granada. Our brothers in Granada wish to unify with our state and form a confederation spanning from the Caribbean to Patagonia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
federalize_santiago_title;Federalize Santiago;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
federalize_santiago_desc;Our control of Santiago has been consolidated, and many of the Natives share an identity and values with our confederation. It is time they be brought into our confederation as full citizens.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
embrace_aimara_incan_identity_title;Embrace Aimaran-Incan Identity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
embrace_aimara_incan_identity_desc;The Aimara used to be a people strongly connected to the Incan Empire. However, with the Spanish conquest and system of conversion, assimilation, and repression, the Aimara have forgotten their identities as Incans and resigned themselves to subservience to the foreigners. It is time we revive their pride as true citizens of the Incan Empire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquer_the_mapuche_title;Conquer the Mapuche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquer_the_mapuche_desc;These lands are vital to our security and control of Patagonia. We must rally the Mapuche tribes to our side and use them as a barrier to Beornian expansion in the South.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
renovate_arequipa_title;Renovate Arequipa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
renovate_arequipa_desc;We must renovate Arequipa and create a modern city truly worthy of representing such a vast confederation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_andean_granadan_state_title;Unite Andean-Granadan State;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_andean_granadan_state_desc;It is time we unite the Andean and Granadan peoples into a confederation that spans the Caribbean to Patagonia. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grant_iroquois_rights_title;Grant Iroquois Rights;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grant_iroquois_rights_desc;By extending rights and privileges, we can bind these communities more closely to our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grant_cherokee_rights_title;Grant Cherokee Rights;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grant_cherokee_rights_desc;By extending rights and privileges, we can bind these communities more closely to our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vin_declare_arcadian_claims_title;Declare Vinlandic Claims;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vin_declare_arcadian_claims_desc;This decision allows us to pursue vin declare arcadian claims and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nbg_declare_arcadian_claims_title;Declare Belgian Claims;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nbg_declare_arcadian_claims_desc;This decision allows us to pursue nbg declare arcadian claims and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pla_declare_arcadian_claims_title;Declare Plantagenian Claims;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pla_declare_arcadian_claims_desc;This decision allows us to pursue pla declare arcadian claims and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baltic_cultures_title;Baltic Cultures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baltic_cultures_desc;Recognizing these communities will strengthen national unity and deepen their loyalty to the state.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
consolidate_cossack_steppe_title;Consolidate Cossack Steppe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
consolidate_cossack_steppe_desc;Through administration, loyalty, and reform, we can fully integrate these lands and peoples into our state.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
extend_ruthenian_borders_title;Extend Ruthenian Borders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
extend_ruthenian_borders_desc;By extending rights and privileges, we can bind these communities more closely to our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annex_ruthenia_title;Annex Ruthenia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annex_ruthenia_desc;Our influence has grown strong enough to bring this territory directly under our rule.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
declare_russian_empire_title;Declare Russian Empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
declare_russian_empire_desc;Our power and prestige now justify a greater proclamation before our people and our rivals.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
subjugate_northern_principalities_title;Subjugate Northern Principalities;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
subjugate_northern_principalities_desc;These lands are vital to our security and ambition. We can move to bring them under our control.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vanquish_southern_khanates_title;Vanquish Southern Khanates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vanquish_southern_khanates_desc;These lands are vital to our security and ambition. We can move to bring them under our control.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
absorb_cossack_states_title;Absorb Cossack States;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
absorb_cossack_states_desc;Through administration, loyalty, and reform, we can fully integrate these lands and peoples into our state.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrating_irish_sca_title;Integrating Irish Sca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrating_irish_sca_desc;This decision allows us to pursue integrating irish sca and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_irish_sca_title;Control Irish Sca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_irish_sca_desc;We must secure our position and ensure that this matter is settled in our favor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_control_iraq_title;Restore Control Iraq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restore_control_iraq_desc;Old claims and historic rights still remain. We can act now to restore restore control iraq and strengthen our position.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
repudiate_iraqi_claims_levant_title;Repudiate Iraqi Claims Levant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
repudiate_iraqi_claims_levant_desc;This decision allows us to pursue repudiate iraqi claims levant and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_turkestan_title;Unite Turania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_turkestan_desc;The time has come to unite our lands and proclaim the unfication of Turania before the world.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reunite_dzungar_khanate_buk_title;Reunite Dzungar Khanate Buk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reunite_dzungar_khanate_buk_desc;This decision allows us to pursue reunite dzungar khanate buk and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reunite_dzungar_khanate_mgl_title;Reunite Dzungar Khanate Mgl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reunite_dzungar_khanate_mgl_desc;This decision allows us to pursue reunite dzungar khanate mgl and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
employ_foreign_minister_title;Employ Foreign Minister;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
employ_foreign_minister_desc;This decision allows us to pursue employ foreign minister and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adopt_foreign_army_reforms_title;Adopt Foreign Army Reforms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adopt_foreign_army_reforms_desc;The state must be modernized through new laws and reforms suited to the challenges ahead.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
invite_foreign_scholars_title;Invite Foreign Scholars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
invite_foreign_scholars_desc;This decision allows us to pursue invite foreign scholars and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_urumqui_university_title;Establish Urumqui University;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_urumqui_university_desc;This decision allows us to pursue establish urumqui university and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
formalize_writing_system_title;Formalize Writing System;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
formalize_writing_system_desc;This decision allows us to pursue formalize writing system and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reestablish_yuan_dynasty_chg_title;Reestablish Yuan Dynasty Chg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reestablish_yuan_dynasty_chg_desc;This decision allows us to pursue reestablish yuan dynasty chg and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reestablish_yuan_dynasty_tks_title;Reestablish Yuan Dynasty Tks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reestablish_yuan_dynasty_tks_desc;This decision allows us to pursue reestablish yuan dynasty tks and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
expanding_manchuria_CHG_title;Expanding Manchuria CHG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
expanding_manchuria_CHG_desc;This decision allows us to pursue expanding manchuria chg and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
expand_tatar_lands_tks_title;Expand Tatar Lands Tks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
expand_tatar_lands_tks_desc;This decision allows us to pursue expand tatar lands tks and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
